Package,LibPath,Version,Priority,Built
rex,/Users/mm06742/Library/R/3.4/library,1.1.2,NA,3.4.2
rJava,/Users/mm06742/Library/R/3.4/library,0.9-10,NA,3.4.4
robustbase,/Users/mm06742/Library/R/3.4/library,0.93-1,NA,3.4.4
ROCR,/Users/mm06742/Library/R/3.4/library,1.0-7,NA,3.4.0
ROSE,/Users/mm06742/Library/R/3.4/library,0.0-3,NA,3.4.0
rticles,/Users/mm06742/Library/R/3.4/library,0.5,NA,3.4.4
sensitivity,/Users/mm06742/Library/R/3.4/library,1.15.0,NA,3.4.2
sfsmisc,/Users/mm06742/Library/R/3.4/library,1.1-2,NA,3.4.4
smotefamily,/Users/mm06742/Library/R/3.4/library,1.2,NA,3.4.3
spData,/Users/mm06742/Library/R/3.4/library,0.2.9.0,NA,3.4.4
SQUAREM,/Users/mm06742/Library/R/3.4/library,2017.10-1,NA,3.4.2
standardize,/Users/mm06742/Library/R/3.4/library,0.2.1,NA,3.4.0
stepPlr,/Users/mm06742/Library/R/3.4/library,0.93,NA,3.4.3
stringdist,/Users/mm06742/Library/R/3.4/library,0.9.5.1,NA,3.4.4
styler,/Users/mm06742/Library/R/3.4/library,1.0.2,NA,3.4.4
timeDate,/Users/mm06742/Library/R/3.4/library,3043.102,NA,3.4.3
tree,/Users/mm06742/Library/R/3.4/library,1.0-39,NA,3.4.4
tseries,/Users/mm06742/Library/R/3.4/library,0.10-45,NA,3.4.4
TTR,/Users/mm06742/Library/R/3.4/library,0.23-3,NA,3.4.3
urca,/Users/mm06742/Library/R/3.4/library,1.3-0,NA,3.4.0
uroot,/Users/mm06742/Library/R/3.4/library,2.0-9,NA,3.4.0
usethis,/Users/mm06742/Library/R/3.4/library,1.3.0,NA,3.4.3
xfun,/Users/mm06742/Library/R/3.4/library,0.3,NA,3.4.4
xlsx,/Users/mm06742/Library/R/3.4/library,0.6.1,NA,3.4.4
xlsxjars,/Users/mm06742/Library/R/3.4/library,0.6.1,NA,3.4.0
xts,/Users/mm06742/Library/R/3.4/library,0.10-2,NA,3.4.4
zoo,/Users/mm06742/Library/R/3.4/library,1.8-2,NA,3.4.4
Amelia,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.5,NA,3.4.4
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.3
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.66.0-1,NA,3.4.3
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.4
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.4
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-14,NA,3.4.4
bit64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-7,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
blob,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.4
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.2
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.4,NA,3.4.4
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.4,NA,3.4.4
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.2
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.2
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.2
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.2
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.2,NA,3.4.4
d3scatter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.2
DAAG,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.22,NA,3.4.0
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.11.4,NA,3.4.4
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.4
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.3
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.5,NA,3.4.3
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.15,NA,3.4.3
downloader,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4,NA,3.4.0
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.5,NA,3.4.4
etl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.7,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
fec,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.0.9013,NA,3.4.2
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.3
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.2
GGally,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.0,NA,3.4.4
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1.9000,NA,3.4.2
ggthemes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.5.0,NA,3.4.4
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.21.0,NA,3.4.3
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
gridExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.1
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.3
hexbin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.27.2,NA,3.4.3
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.2
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.4
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.4
httpuv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.4
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
jsonlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.2
knitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.20,NA,3.4.3
labeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
later,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.3,NA,3.4.2
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.2
latticeExtra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-28,NA,3.4.0
lazyeval,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1.9000,NA,3.4.2
leaflet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1.9000,NA,3.4.2
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.4,NA,3.4.4
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
maptools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-2,NA,3.4.0
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-47,recommended,3.4.2
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-11,recommended,3.4.2
memoise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-20,recommended,3.4.2
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.4
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.2
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.2
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.2
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.3
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
pillar,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.3,NA,3.4.4
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.4
plotly,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.7.1,NA,3.4.1
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
png,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-7,NA,3.4.0
praise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.2,NA,3.4.0
processx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1.0,NA,3.4.4
progress,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
promises,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.4
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.4
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.5,NA,3.4.4
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
raster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6-7,NA,3.4.2
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.17,NA,3.4.4
RCurl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.95-4.10,NA,3.4.3
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.4
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
reprex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.2
reshape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.7,NA,3.4.1
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.3
rgeos,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-27,NA,3.4.4
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.4
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10,NA,3.4.2
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-11,recommended,3.4.2
RPostgreSQL,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6-2,NA,3.4.1
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.3
RSQLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.1,NA,3.4.4
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.1
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-1,NA,3.4.4
shiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.4
sourcetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.7,NA,3.4.4
sp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-1,NA,3.4.2
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.2
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.3,NA,3.4.2
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.4
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.2
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
testthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.0,NA,3.4.3
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.2,NA,3.4.3
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.1,NA,3.4.4
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.3
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.2
tinytex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.4
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
utf8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.4,NA,3.4.2
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.2,base,3.4.2
viridis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.4
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.3
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.2,NA,3.4.4
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.19,NA,3.4.4
